Symbol,Short Window,Long Window,Accuracy
SHY,114,138,0.8045375218150087
VDC,105,140,0.798469387755102
VIG,19,123,0.7802403204272363
VTV,17,140,0.7757421150278293
BSV,79,139,0.7728697634653747
VCR,38,138,0.7727272727272727
VPU,88,140,0.7706400742115028
VGSH,62,139,0.7677442023893183
VHT,32,131,0.7671614100185529
VGT,16,117,0.7669294990723562
^GSPC,8,129,0.7633071553228621
VCSH,125,139,0.7572030920590302
MUB,34,115,0.7417743830787309
VIS,7,131,0.7389626055488541
VYM,15,117,0.7375866851595007
HYG,19,117,0.7338273012254204
AGG,130,140,0.7263421292083713
VB,5,137,0.7198515769944341
VCIT,127,139,0.719255094869993
BND,40,135,0.7175833570817897
BIV,48,124,0.7172983756055856
VBR,10,140,0.714517625231911
VTEB,15,115,0.7135714285714285
VAW,51,124,0.7117346938775511
BNDX,126,136,0.7052524222335543
VMBS,81,121,0.6964160224877021
VFH,45,132,0.6945732838589982
LQD,14,132,0.694371727748691
VNQ,18,94,0.6933655006031363
VOX,11,138,0.6849215922798553
VGIT,103,140,0.6749824314827828
BLV,22,126,0.664576802507837
IEF,108,124,0.6629581151832461
EMB,21,131,0.6598680263947211
VCLT,22,136,0.6588193956430077
VDE,9,140,0.6566948130277442
TLT,14,134,0.6173647469458988
VGLT,29,139,0.5984391628236964
VWO,8,130,0.5978180014877262
VEA,8,26,0.5616996507566938
