Symbol,Short Window,Long Window,Accuracy
SHY,114,138,0.8045375218150087
SHY,103,134,0.8032286212914486
SHY,104,133,0.8021378708551483
SHY,112,131,0.8006108202443281
SHY,103,131,0.800392670157068
SHY,119,133,0.7993019197207679
VDC,105,140,0.798469387755102
VDC,116,138,0.7982374768089053
SHY,95,129,0.7979930191972077
VDC,32,132,0.7975417439703154
VDC,107,139,0.7975417439703154
VDC,106,137,0.7973098330241187
SHY,80,135,0.7971204188481675
VDC,118,138,0.7968460111317254
VDC,121,140,0.7963821892393321
SHY,96,128,0.7960296684118674
VDC,110,136,0.7954545454545454
SHY,76,136,0.7953752181500873
VDC,44,134,0.7938311688311688
VDC,128,139,0.7931354359925789
SHY,106,122,0.7929755671902269
VDC,126,139,0.7926716141001855
VDC,120,136,0.7924397031539888
VDC,54,133,0.7922077922077922
VDC,128,138,0.7922077922077922
SHY,96,123,0.7921029668411868
VDC,117,133,0.7910482374768089
SHY,8,135,0.7910122164048866
VDC,125,136,0.7901205936920223
SHY,76,128,0.7899214659685864
VDC,29,126,0.7898886827458256
SHY,110,121,0.7894851657940664
VDC,121,134,0.7891929499072357
SHY,95,119,0.7886125654450262
VDC,124,132,0.7882653061224489
VDC,125,131,0.7878014842300557
VDC,121,133,0.7873376623376623
SHY,71,134,0.787303664921466
VDC,128,130,0.786873840445269
SHY,11,132,0.7868673647469459
SHY,18,132,0.7868673647469459
SHY,97,118,0.7864310645724258
VDC,122,130,0.785482374768089
VDC,100,123,0.7852504638218923
VDC,86,136,0.7852504638218923
VDC,119,129,0.7852504638218923
SHY,93,116,0.7840314136125655
VDC,4,124,0.7836270871985158
SHY,62,138,0.7835951134380453
SHY,104,115,0.7835951134380453
SHY,120,123,0.7829406631762653
SHY,120,123,0.7829406631762653
SHY,20,123,0.7822862129144852
VDC,96,121,0.7820037105751392
VDC,3,120,0.7810760667903525
VIG,19,123,0.7802403204272363
SHY,42,136,0.7792321116928447
SHY,110,115,0.7790139616055847
SHY,89,114,0.7790139616055847
SHY,65,125,0.7785776614310645
SHY,16,118,0.7781413612565445
SHY,27,128,0.7781413612565445
VDC,57,113,0.7780612244897959
VIG,17,119,0.7775700934579439
SHY,119,120,0.7772687609075044
SHY,59,129,0.7770506108202443
VDC,63,115,0.7769016697588126
VDC,59,95,0.7769016697588126
VIG,8,140,0.7767690253671562
VDC,111,113,0.775974025974026
VDC,71,119,0.7757421150278293
VTV,17,140,0.7757421150278293
VDC,7,102,0.774582560296846
SHY,83,111,0.7739965095986039
VDC,106,114,0.773886827458256
VDC,6,102,0.7736549165120594
VDC,69,112,0.7734230055658627
SHY,49,129,0.7733420593368238
SHY,76,114,0.7733420593368238
SHY,61,118,0.7731239092495636
VDC,62,94,0.7729591836734694
VDC,67,114,0.7729591836734694
BSV,79,139,0.7728697634653747
VCR,38,138,0.7727272727272727
VDC,77,117,0.7727272727272727
VDC,56,92,0.772495361781076
VCR,10,138,0.7717996289424861
SHY,33,126,0.7715968586387435
VCR,30,123,0.7713358070500927
SHY,77,112,0.7709424083769634
SHY,41,115,0.7709424083769634
BSV,87,139,0.7708748931319465
VPU,88,140,0.7706400742115028
SHY,70,111,0.7705061082024433
VPU,84,139,0.7704081632653061
VIG,18,136,0.7700934579439253
SHY,75,112,0.7700698080279232
SHY,93,108,0.7700698080279232
VCR,18,121,0.7697124304267161
VDC,53,90,0.7694805194805194
BSV,96,139,0.7694499857509262
VIG,32,104,0.7690253671562083
VCR,42,132,0.7687847866419295
VPU,79,136,0.7687847866419295
VCR,6,133,0.7685528756957328
VCR,20,118,0.7683209647495362
BSV,111,139,0.76831005984611
SHY,55,110,0.7681064572425829
